RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,30/09/2020
381,1904,Banks County,County,GA,GA,,13,11,178401
2533,1905,Schuyler County,County,NY,NY,,36,97,143159
588,1906,Lamar County,County,GA,GA,Atlanta-Sandy Springs-Roswell,13,171,129848
1449,1907,Unicoi County,County,TN,TN,Johnson City,47,171,125128
2419,1908,McCreary County,County,KY,KY,,21,147,51234
2472,1909,Pemiscot County,County,MO,MO,,29,155,77803
1937,1910,Montour County,County,PA,PA,Bloomsburg-Berwick,42,93,189550
2403,1911,Mariposa County,County,CA,CA,,6,43,303064
1826,1912,Johnson County,County,TN,TN,,47,91,112978
1516,1913,Appling County,County,GA,GA,,13,1,94300
887,1914,Bosque County,County,TX,TX,,48,35,128824
177,1915,Hart County,County,KY,KY,,21,99,96552
3270,1916,Sainte Genevieve County,County,MO,MO,,29,186,124062
1623,1917,Clayton County,County,IA,IA,,19,43,126032
2271,1918,Franklin County,County,AR,AR,,5,47,96600
2508,1920,Richland County,County,WI,WI,,55,103,132546
1792,1921,Jackson County,County,AR,AR,,5,67,56650
2490,1922,Randolph County,County,AR,AR,,5,121,95927
2262,1923,Fentress County,County,TN,TN,,47,49,93909
2962,1924,Los Alamos County,County,NM,NM,Los Alamos,35,28,307267
464,1925,Cross County,County,AR,AR,,5,37,88685
273,1926,Pike County,County,GA,GA,Atlanta-Sandy Springs-Roswell,13,231,196951
1231,1927,Morgan County,County,GA,GA,Atlanta-Sandy Springs-Roswell,13,211,241157
509,1928,Falls County,County,TX,TX,Waco,48,145,84839
2030,1928,Socorro County,County,NM,NM,,35,53,115981
1560,1931,Bristol City,County,VA,VA,Kingsport-Bristol-Bristol,51,520,102214
1504,1932,Yancey County,County,NC,NC,,37,199,176152
1606,1933,Chaffee County,County,CO,CO,,8,15,371952
765,1934,Union County,County,IL,IL,,17,181,105364
376,1935,Avery County,County,NC,NC,,37,11,163181
734,1936,Stone County,County,MS,MS,,28,131,113354
102,1937,Bond County,County,IL,IL,St. Louis,17,5,105054
315,1938,Tama County,County,IA,IA,,19,171,108442
2246,1939,Delaware County,County,IA,IA,,19,55,160837
1472,1940,Warren County,County,IL,IL,,17,187,74442
2140,1941,Ben Hill County,County,GA,GA,Fitzgerald,13,17,77218
955,1942,Cooper County,County,MO,MO,,29,53,138440
3047,1943,Washington County,County,AL,AL,,1,129,97746
2007,1944,Russell County,County,KY,KY,,21,207,87474
1239,1945,Morgan County,County,WV,WV,,54,65,151611
3116,1946,Piscataquis County,County,ME,ME,,23,21,122421
1077,1947,Hardin County,County,IA,IA,,19,83,88005
1028,1948,Gaines County,County,TX,TX,,48,165,167917
873,1949,Benzie County,County,MI,MI,Traverse City,26,19,205802
627,1950,Mason County,County,KY,KY,Maysville,21,161,92110
1331,1951,Potter County,County,PA,PA,,42,105,89228
3201,1952,Westmoreland County,County,VA,VA,,51,193,211511
2641,1953,Brunswick County,County,VA,VA,,51,25,84860
2379,1954,Lawrence County,County,AR,AR,,5,75,64302
3291,1955,Colonial Heights City,County,VA,VA,Richmond,51,570,169781
858,1956,Beadle County,County,SD,SD,Huron,46,5,119394
310,1957,Rush County,County,IN,IN,,18,139,119873
2655,1957,Chickasaw County,County,MS,MS,,28,17,79735
668,1959,Parke County,County,IN,IN,,18,121,115566
2028,1960,Simpson County,County,KY,KY,,21,213,130807
552,1961,Henry County,County,AL,AL,Dothan,1,67,96626
2858,1962,Van Buren County,County,AR,AR,,5,141,91130
832,1963,Andrew County,County,MO,MO,St. Joseph,29,3,170650
523,1964,Giles County,County,VA,VA,Blacksburg-Christiansburg-Radford,51,71,119118
716,1965,Sharp County,County,AR,AR,,5,135,86528
1696,1966,Fayette County,County,AL,AL,,1,57,79300
2269,1967,Fountain County,County,IN,IN,,18,45,99213
162,1968,Frio County,County,TX,TX,,48,163,93606
138,1969,Cook County,County,GA,GA,,13,75,94540
2662,1970,Claiborne Parish,County,LA,LA,,22,27,108373
2158,1971,Burleson County,County,TX,TX,College Station-Bryan,48,51,149946
2362,1972,Kalkaska County,County,MI,MI,Traverse City,26,79,124815
1324,1973,Pitkin County,County,CO,CO,Glenwood Springs,8,97,1346797
2895,1974,Buckingham County,County,VA,VA,Charlottesville,51,29,114977
1613,1975,Chester County,County,TN,TN,Jackson,47,23,127239
2228,1976,Crawford County,County,IA,IA,,19,47,107801
1119,1977,Jasper County,County,MS,MS,Laurel,28,61,84803
2032,1978,Spencer County,County,KY,KY,Louisville/Jefferson County,21,215,216963
1375,1979,Sevier County,County,AR,AR,,5,133,99372
3011,1980,Rockcastle County,County,KY,KY,Richmond-Berea,21,203,73693
384,1981,Bates County,County,MO,MO,Kansas City,29,13,129665
1108,1982,Hughes County,County,SD,SD,Pierre,46,65,211797
799,1983,Wayne County,County,TN,TN,,47,181,103290
2704,1985,Gilchrist County,County,FL,FL,Gainesville,12,41,166893
2736,1986,Jefferson County,County,GA,GA,,13,163,73703
2130,1987,Atchison County,County,KS,KS,Atchison,20,5,89219
1371,1988,Scurry County,County,TX,TX,Snyder,48,415,104947
1719,1989,Garrard County,County,KY,KY,,21,79,138593
1425,1990,Taylor County,County,WV,WV,Clarksburg,54,91,98783
2737,1991,Jefferson County,County,IA,IA,Fairfield,19,101,125228
2773,1992,Lafayette County,County,WI,WI,,55,65,126224
2380,1993,Lawrence County,County,IL,IL,,17,101,53883
293,1994,Polk County,County,TN,TN,Cleveland,47,139,128513
233,1995,Leon County,County,TX,TX,,48,289,163646
977,1996,Dallas County,County,MO,MO,Springfield,29,59,123276
788,1997,Wayne County,County,IL,IL,,17,191,71046
1379,1998,Seward County,County,NE,NE,Lincoln,31,159,190561
684,2000,Piatt County,County,IL,IL,Champaign-Urbana,17,147,137719
73,2001,Gem County,County,ID,ID,Boise City,16,45,247756
2681,2002,Dickinson County,County,IA,IA,Spirit Lake,19,59,231612
120,2002,Clay County,County,IA,IA,Spencer,19,41,135235
1160,2004,Marion County,County,AR,AR,,5,89,125074
2236,2005,Crawford County,County,WI,WI,,55,23,127185
143,2006,Dade County,County,GA,GA,Chattanooga,13,83,149249
2835,2007,Robertson County,County,TX,TX,College Station-Bryan,48,395,143160
88,2008,Lee County,County,TX,TX,,48,287,224187
1532,2009,Barbour County,County,WV,WV,,54,1,65428
1487,2010,Wetzel County,County,WV,WV,,54,103,70829
1312,2011,Pawnee County,County,OK,OK,Tulsa,40,117,90444
990,2012,Dewitt County,County,IL,IL,Bloomington,17,39,97570
1368,2013,Sawyer County,County,WI,WI,,55,113,205721
487,2014,Dukes County,County,MA,MA,Vineyard Haven,25,7,857879
2353,2015,Humboldt County,County,NV,NV,Winnemucca,32,13,226533
1259,2016,Neosho County,County,KS,KS,,20,133,66593
2050,2017,Telfair County,County,GA,GA,,13,271,62902
723,2018,Smith County,County,MS,MS,,28,129,96437
871,2019,Benton County,County,TN,TN,,47,5,102380
1197,2020,Mercer County,County,IL,IL,Davenport-Moline-Rock Island,17,131,96648
274,2021,Pike County,County,IL,IL,,17,149,72326
1726,2022,Gogebic County,County,MI,MI,,26,53,68971
480,2023,Dixie County,County,FL,FL,,12,29,100692
3182,2024,Radford City,County,VA,VA,Blacksburg-Christiansburg-Radford,51,750,152127
2579,2025,Torrance County,County,NM,NM,Albuquerque,35,57,112041
602,2026,Lewis County,County,WV,WV,,54,41,78946
189,2027,Iowa County,County,IA,IA,,19,95,163175
585,2028,Knott County,County,KY,KY,,21,119,58749
440,2029,Clark County,County,IL,IL,,17,23,92935
2505,2030,Richland County,County,ND,ND,Wahpeton,38,77,123143
513,2031,Floyd County,County,IA,IA,,19,67,106319
660,2032,Osage County,County,KS,KS,Topeka,20,139,115192
692,2033,Rabun County,County,GA,GA,,13,241,236026
1801,2034,Jackson Parish,County,LA,LA,,22,49,87467
566,2035,Idaho County,County,ID,ID,,16,49,220887
2613,2036,Alleghany County,County,VA,VA,,51,5,105630
893,2037,Brooks County,County,GA,GA,Valdosta,13,27,111511
1831,2038,Kanabec County,County,MN,MN,,27,65,169059
2502,2039,Richland County,County,IL,IL,,17,159,80052
3046,2040,Vermillion County,County,IN,IN,Terre Haute,18,165,76348
268,2041,Park County,County,CO,CO,Denver-Aurora-Lakewood,8,93,349479
822,2042,Aitkin County,County,MN,MN,,27,1,193327
1520,2043,Ashland County,County,WI,WI,,55,3,103413
380,2044,Baker County,County,OR,OR,,41,1,182351
179,2045,Hill County,County,MT,MT,,30,41,200241
117,2046,Clay County,County,AR,AR,,5,21,58345
1995,2047,Redwood County,County,MN,MN,,27,127,87394
1053,2048,Greene County,County,GA,GA,,13,133,357460
1528,2049,Bamberg County,County,SC,SC,,45,9,89916
427,2050,Casey County,County,KY,KY,,21,45,90212
1434,2051,Tipton County,County,IN,IN,,18,159,135195
3170,2052,King William County,County,VA,VA,Richmond,51,101,207763
266,2053,Page County,County,IA,IA,,19,145,79239
2594,2054,Washburn County,County,WI,WI,,55,129,172942
2680,2055,Dickenson County,County,VA,VA,Big Stone Gap,51,51,56718
836,2056,Arenac County,County,MI,MI,,26,11,88400
917,2057,Carbon County,County,WY,WY,,56,7,165500
2334,2058,Harrison County,County,OH,OH,,39,67,92124
169,2059,Gulf County,County,FL,FL,Panama City,12,45,227580
2382,2060,Lawrence County,County,KY,KY,,21,127,86833
2458,2061,Nottoway County,County,VA,VA,,51,135,100089
2413,2062,Marshall County,County,OK,OK,,40,95,99145
2522,2063,San Juan County,County,WA,WA,,53,55,612790
170,2064,Hale County,County,AL,AL,Tuscaloosa,1,65,92095
263,2065,Otoe County,County,NE,NE,,31,131,147441
2498,2066,Renville County,County,MN,MN,,27,129,112941
1895,2067,Madison County,County,AR,AR,Fayetteville-Springdale-Rogers,5,87,114798
1898,2068,Madison County,County,IA,IA,Des Moines-West Des Moines,19,121,185653
2316,2069,Hamilton County,County,IA,IA,,19,79,105123
148,2070,Dent County,County,MO,MO,,29,65,105832
269,2071,Park County,County,MT,MT,,30,67,364616
1359,2072,Roseau County,County,MN,MN,,27,135,146149
3252,2073,West Feliciana Parish,County,LA,LA,Baton Rouge,22,125,224021
2440,2074,Moniteau County,County,MO,MO,Jefferson City,29,135,135698
2438,2075,Mitchell County,County,NC,NC,,37,121,139825
621,2076,Macon County,County,MO,MO,,29,121,114777
1844,2077,Kossuth County,County,IA,IA,,19,109,106362
762,2078,Union County,County,FL,FL,,12,125,143551
1734,2079,Grayson County,County,VA,VA,,51,77,111510
2950,2080,Las Animas County,County,CO,CO,,8,71,149009
672,2080,Pecos County,County,TX,TX,,48,371,129726
1728,2082,Gooding County,County,ID,ID,,16,47,179621
1568,2083,Burnett County,County,WI,WI,,55,13,165593
1511,2084,Alamosa County,County,CO,CO,,8,3,186797
2590,2085,Walthall County,County,MS,MS,,28,147,111616
1182,2086,Massac County,County,IL,IL,Paducah,17,127,73867
557,2087,Henry County,County,KY,KY,Louisville/Jefferson County,21,103,139054
2786,2088,Marquette County,County,WI,WI,,55,77,136702
1592,2089,Carroll County,County,IL,IL,,17,15,101253
2313,2091,Gunnison County,County,CO,CO,,8,51,407479
331,2092,Winn Parish,County,LA,LA,,22,127,74560
517,2093,Floyd County,County,VA,VA,Blacksburg-Christiansburg-Radford,51,63,111902
403,2094,Brown County,County,IN,IN,Indianapolis-Carmel-Anderson,18,13,210248
1390,2095,Sibley County,County,MN,MN,Minneapolis-St. Paul-Bloomington,27,143,149078
2703,2096,Gasconade County,County,MO,MO,,29,73,130036
657,2097,Nolan County,County,TX,TX,Sweetwater,48,353,79985
1618,2098,Choctaw County,County,OK,OK,,40,23,73100
2960,2099,Livingston County,County,MO,MO,,29,117,115774
1577,2100,Calhoun County,County,SC,SC,Columbia,45,17,168940
1550,2101,Bourbon County,County,KS,KS,,20,11,67040
2943,2102,Jeff Davis County,County,GA,GA,,13,161,88803
643,2103,Mills County,County,IA,IA,Omaha-Council Bluffs,19,129,175281
1236,2104,Morgan County,County,OH,OH,,39,115,97134
